index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
11,task-1-11,vm4,0.0,0.7339999999385327,0.741688,0.0
14,task-1-14,vm3,0.596617,0.2029999999795109,0.794698,0.0
3,task-2-3,vm4,0.597619,2.952999999979511,3.540795,0.0
16,task-2-16,vm4,0.597619,7.01500000001397,7.60451,0.0
5,task-3-5,vm4,0.598618,3.531000000075437,4.12425,0.0
9,task-3-9,vm3,0.598618,1.125,1.722073,0.0
1,task-5-1,vm3,0.599616,3.75,4.344331,0.0
6,task-4-6,vm4,0.599616,6.734000000054948,7.32301,0.0
7,task-4-7,vm4,0.599616,2.672000000020489,3.272182,0.0
0,task-6-0,vm4,0.600616,5.734000000054948,6.335263,0.0
17,task-5-17,vm4,0.600616,1.687000000034459,2.279733,0.0
18,task-6-18,vm3,0.600616,7.5,8.086784,0.0
12,task-7-12,vm2,0.601616,10.23499999998603,10.849954,0.0
8,task-7-8,vm4,0.792681,9.75,10.546324,0.18799999996554106
15,task-8-15,vm3,0.794698,13.734000000054948,14.535905,0.18799999996554106
4,task-10-4,vm3,1.723076,23.26500000001397,24.988039,1.1099999999860302
2,task-8-2,vm4,2.281738,12.10999999998603,14.382792,1.672000000020489
10,task-9-10,vm4,3.273187,15.952999999979511,19.239862,2.672000000020489
13,task-9-13,vm4,3.54179,21.453000000095926,24.998037,2.937999999965541
19,task-10-19,vm4,4.125257,25.983999999938533,30.107573,3.5160000000614673
